dataset,tag,n_seeds,accuracy_mean,accuracy_sd,balanced_accuracy_mean,balanced_accuracy_sd,macro_f1_mean,macro_f1_sd,auroc_mean,auroc_sd,auprc_mean,auprc_sd,loss_mean,loss_sd,best_round_mean,best_round_sd,last_round_mean,last_round_sd,val_macro_f1_mean,val_macro_f1_sd
isic2018,centralized,3,0.7881393298059964,0.033498095085048654,0.7048302625750652,0.019820918339324995,0.7114716980245105,0.025666858635897995,0.955546080726481,0.002903170858397654,0.8049621953984607,0.010371502384057147,0.6027945478757223,0.05482269687678136,22.333333333333332,20.79262689833426,50.0,0.0,0.8047770012099082,0.0404051168450745
isic2018,fedadam_a0.5_K10_E2_eta0.0001,1,0.7037037037037037,,0.5131867931024273,,0.46169103059619704,,0.9181905086296288,,0.6235321803818934,,0.9852564334869385,,50.0,,50.0,,0.5160435188568181,
isic2018,fedadam_a0.5_K10_E2_eta0.001,3,0.7740299823633157,0.013364589564574694,0.6201590125174842,0.04353944448045353,0.6331287998855046,0.02766063437125625,0.9423419286746867,0.004403997192768706,0.7208797885810453,0.01148147752160588,0.6480679313341776,0.01456418163277374,40.666666666666664,7.371114795831994,50.0,0.0,0.6570754002583273,0.047025043124893716
isic2018,fedadam_a0.5_K10_E2_eta1e-5,1,0.05886243386243386,,0.1921265087606178,,0.0935962716783569,,0.664765325460463,,0.23118242663130023,,1.9436051845550537,,47.0,,50.0,,0.04924242424242425,
isic2018,fedavg_a0.1_K10_E2,3,0.6723985890652558,0.06475517358190212,0.5091519989388738,0.03286955544277168,0.48187939510985206,0.01683099703694499,0.9075442593950732,0.02975342600809885,0.6117324764986386,0.03247584002182769,1.0144915382067363,0.18333640687169359,31.0,19.924858845171276,50.0,0.0,0.524608142613984,0.06286259298431714
isic2018,fedavg_a0.5_K10_E1,3,0.7718253968253969,0.014505100661019406,0.6115320687271062,0.06210732015132896,0.6275250021213409,0.06739536699014353,0.9407826635773673,0.00416861652173441,0.7353872190641267,0.018256666026054944,0.6593861778577169,0.047100421117473715,31.666666666666668,18.14754345175493,50.0,0.0,0.6551625838414977,0.031034417806974534
isic2018,fedavg_a0.5_K10_E10,3,0.7835097001763668,0.024041103845177398,0.6072301462995596,0.0472927530860351,0.6441022738303809,0.03553694741255184,0.941129899877419,0.005146112803768965,0.7440878072576876,0.010839241283249923,0.6814226309458414,0.034649985675514125,21.666666666666668,19.5021366350801,50.0,0.0,0.6053069143409887,0.04290090124438724
isic2018,fedavg_a0.5_K10_E2,3,0.7727072310405644,0.010954372353443388,0.6196094355176196,0.026878875215825652,0.6442662185462545,0.026384156598121038,0.943589310851403,0.0031882078850815772,0.7454024164054808,0.01884915550600582,0.6472671230634054,0.03704664129463974,34.0,13.527749258468683,50.0,0.0,0.6748524801999811,0.011300128471580441
isic2018,fedavg_a0.5_K10_E2_lr0.0002,1,0.6501322751322751,,0.577639682071256,,0.5721751482815346,,0.9444442038535679,,0.7305832581468416,,0.8203911185264587,,11.0,,50.0,,0.6547677695121994,
isic2018,fedavg_a0.5_K10_E2_lr5e-5,1,0.791005291005291,,0.6522269844828793,,0.6666472523472954,,0.9421390520537726,,0.7419666120114117,,0.6226613521575928,,47.0,,50.0,,0.6100840336134453,
isic2018,fedavg_a0.5_K10_E5,3,0.7680776014109347,0.02352614033854342,0.5994409767390243,0.04905230174371393,0.6314499833357736,0.032071957907512764,0.9421843985812309,0.0027705841699883485,0.7410410668467584,0.006996791808219639,0.6906137863794962,0.022380283717561737,22.333333333333332,19.08751773629388,50.0,0.0,0.6077543658033766,0.04430519744959963
isic2018,fedavg_a0.5_K20_E2,3,0.7954144620811286,0.012290440797853923,0.6792178923726458,0.030616640276845818,0.694844751695418,0.021585860247336015,0.9494661598974826,0.0021913941429616375,0.7757991223950554,0.01059705616347136,0.5873668988545736,0.015316714442958394,37.0,10.816653826391969,50.0,0.0,0.7312202557366675,0.04244593843618456
isic2018,fedavg_a0.5_K5_E2,3,0.7837301587301587,0.02478173808888255,0.6720356797203076,0.04068719504110526,0.6786169476849876,0.024231481564502895,0.9542917173077337,0.005595563797497704,0.7787134250075404,0.029620425653372334,0.6104811429977417,0.055612270277773976,23.0,17.349351572897472,50.0,0.0,0.7470973203746087,0.034065723033849735
isic2018,fedavg_a100_K10_E2,3,0.8059964726631393,0.005702168058367552,0.7402520952788713,0.002377065446204588,0.7413253959097905,0.0035096338010176783,0.962919624603282,0.0017300639577587738,0.832077716091249,0.010550518725812025,0.5288024346033732,0.010138549882312385,30.0,9.16515138991168,50.0,0.0,0.7826381437939084,0.011164679919328317
isic2018,fedavg_a1_K10_E2,3,0.7905643738977073,0.01054750768422016,0.6706266818492961,0.030418047899692525,0.6828731095995755,0.024659666787510547,0.9556986644915672,0.0033180061951238325,0.7897808382854065,0.007879679661858941,0.583471953868866,0.03724239336521615,27.333333333333332,17.8978583448784,50.0,0.0,0.7080168120610972,0.08760591498361159
isic2018,fedprox_a0.5_K10_E2_mu0.001,3,0.7890211640211641,0.013666652327891406,0.621854981035871,0.018402945251300745,0.6565408883500425,0.03112859619705181,0.9446442467881271,0.0034102558639337896,0.7557390154047097,0.028523523009863896,0.623830238978068,0.023081897979427047,41.666666666666664,6.110100926607787,50.0,0.0,0.6444903214269108,0.04344471040485104
isic2018,fedprox_a0.5_K10_E2_mu0.01,1,0.7764550264550265,,0.611323074003888,,0.6286765679968722,,0.9420355083617299,,0.7353126244123797,,0.6506853103637695,,35.0,,50.0,,0.6716043416903726,
isic2018,fedprox_a0.5_K10_E2_mu0.1,1,0.783068783068783,,0.6372850950393748,,0.6526978627286473,,0.942638311268427,,0.7363195062825707,,0.6274996399879456,,46.0,,50.0,,0.6344046344422897,
isic2019,centralized,3,0.734411996842936,0.009195880187633003,0.5668920061516496,0.004177223730292838,0.5550752322178497,0.017716530604866117,0.9168615766949172,0.008532879877093695,0.5719538791141197,0.017801124222003275,0.8868570725123087,0.025853796596139667,20.666666666666668,8.020806277010642,50.0,0.0,0.6143740930488059,0.004097978348262837
isic2019,fedadam_a0.5_K10_E2_eta0.0001,1,0.632991318074191,,0.46707465492353667,,0.4090685738619713,,0.8841357191682369,,0.48216304734664955,,1.1393725872039795,,47.0,,50.0,,0.4610659495826967,
isic2019,fedadam_a0.5_K10_E2_eta0.001,3,0.6988950276243093,0.005840034959332584,0.5144141417909472,0.004894674719468759,0.5052637183951992,0.0023101594824252885,0.9080043220325423,0.00665230235151497,0.5468814683780469,0.012840158178893063,0.8750086029370626,0.03434600437218017,44.333333333333336,4.163331998932266,50.0,0.0,0.5628233390049664,0.015794523646728443
